"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\layouts\LayoutAuthenticated.vue", "Vue", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 13, 78
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\layouts\LayoutGuest.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\layouts\TableLayoutComponent.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 9, 40
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\main.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 76
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\menuAside.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 135
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\menuNavBar.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\offlineData.js", "JavaScript", 3269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3272
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\router\index.js", "JavaScript", 545, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 574
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\CommissionRecipient.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\api.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\authentication.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 79
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\axios.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\branches.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 0, 0, 31, 22, 231
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\brands.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\cashCollected.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\commissions.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\dailyInventoryOut.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\dailySales.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 36
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\darkMode.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 30
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\expenses.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\inventoryItem.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\main.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\productType.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\products.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\recipe.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\standardBatchVariety.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\unit.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\stores\workOrder.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\views\ADDBADOTEMPLATE.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 13, 69
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\views\BADOTEMPLATE.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 17, 76
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\views\MyComponent.vue", "Vue", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
